project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,1,1,0,false,14,0,0.000105772911446247,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/SpringPropertySource.java,log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/SpringPropertySource.java,org.apache.logging.log4j.spring.boot.SpringPropertySource,SpringPropertySource,20307,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,1,0,false,238,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/FileAppenderParamsBenchmark_param3LogbackFile_jmhTest.java,log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/FileAppenderParamsBenchmark_param3LogbackFile_jmhTest.java,org.apache.logging.log4j.perf.jmh.jmh_generated.FileAppenderParamsBenchmark_param3LogbackFile_jmhTest,FileAppenderParamsBenchmark_param3LogbackFile_jmhTest,36693,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,2,0,false,50,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderDeleteMaxDepthTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderDeleteMaxDepthTest.java,org.apache.logging.log4j.core.appender.rolling.RollingAppenderDeleteMaxDepthTest,RollingAppenderDeleteMaxDepthTest,12127,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,13,0,false,49,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-1.2-api/src/test/java/org/apache/log4j/builders/Log4j2ListAppenderBuilder.java,log4j-1.2-api/src/test/java/org/apache/log4j/builders/Log4j2ListAppenderBuilder.java,org.apache.log4j.builders.Log4j2ListAppenderBuilder,Log4j2ListAppenderBuilder,36706,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,6,0,false,37,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MaxLengthConverterTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MaxLengthConverterTest.java,org.apache.logging.log4j.core.pattern.MaxLengthConverterTest,MaxLengthConverterTest,44906,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,2,0,false,61,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderTimeAndSizeTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderTimeAndSizeTest.java,org.apache.logging.log4j.core.appender.rolling.RollingAppenderTimeAndSizeTest,RollingAppenderTimeAndSizeTest,12141,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,INTERFACE,5,0,0,false,3,0,0.000238668422191343,0,INTERFACE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/util/FileWatcher.java,log4j-core/src/main/java/org/apache/logging/log4j/core/util/FileWatcher.java,org.apache.logging.log4j.core.util.FileWatcher,FileWatcher,28529,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,4,0,false,27,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/Log4j2SpringBootLoggingSystemTest.java,log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/Log4j2SpringBootLoggingSystemTest.java,org.apache.logging.log4j.spring.boot.Log4j2SpringBootLoggingSystemTest,Log4j2SpringBootLoggingSystemTest,20343,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,5,0,false,29,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MessageAnsiConverterTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MessageAnsiConverterTest.java,org.apache.logging.log4j.core.pattern.MessageAnsiConverterTest,MessageAnsiConverterTest,44921,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,1,9,0,false,69,0,0.000141404391323206,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/script/ScriptFile.java,log4j-core/src/main/java/org/apache/logging/log4j/core/script/ScriptFile.java,org.apache.logging.log4j.core.script.ScriptFile,ScriptFile,28539,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,1,0,0,false,7,0,0.000180609377317803,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/builders/Holder.java,log4j-1.2-api/src/main/java/org/apache/log4j/builders/Holder.java,org.apache.log4j.builders.Holder,Holder,36732,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,8,0,false,59,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderCronTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderCronTest.java,org.apache.logging.log4j.core.appender.rolling.RollingAppenderCronTest,RollingAppenderCronTest,12157,unit
